Median Sale Price (in 000's of dollars),Month,Year,City_Bothell,City_Issaquah,City_Kenmore,City_Kent,City_Kirkland,City_Mercer Island,City_Olympia,City_Redmond,City_Sammamish,City_Seattle,City_Snoqualmie,City_Tacoma,Property Type_Condo/Co-op,Property Type_Multi-Family (2-4 Unit),Property Type_Single Family Residential,Property Type_Townhouse
6.807934943699926,2,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.252053951852814,4,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5.752572638825633,6,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6.721425700790643,8,2017,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6.536691597591305,9,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.579251212010101,10,2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5.60947179518496,11,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6.672032945461067,1,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.003887067106539,1,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.45833828334479,1,2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.5909869805108565,1,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6.633318433280377,3,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6.776506992372183,5,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6.5722825426940075,5,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.519147287940395,8,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7.305188215393037,8,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7.21890970761906,9,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6.75110146893676,10,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.484635235635252,12,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.75110146893676,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.765191102784844,2,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6.502790045915623,2,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6.721425700790643,2,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6.828712071641684,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.840546529288687,4,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5.91350300563827,8,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7.459914766241105,8,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5.768320995793772,3,2010,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.184148890937483,4,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5.187385805840755,4,2010,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5.493061443340548,5,2010,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5.572154032177765,6,2010,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5.1647859739235145,6,2010,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6.133398042996649,8,2010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5.1647859739235145,8,2010,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5.945420608606575,9,2010,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5.857933154483459,9,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.135798437050262,11,2010,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6.2285110035911835,12,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5.181783550292085,12,2010,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5.814130531825066,1,2011,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6.030685260261263,3,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.455321115357702,4,2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5.68697535633982,5,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.76849321164863,6,2011,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5.863631175598097,6,2011,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5.857933154483459,7,2011,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5.0689042022202315,7,2011,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5.8377304471659395,8,2011,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6.0867747269123065,8,2011,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5.438079308923196,9,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5.872117789475416,9,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.2285110035911835,9,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0106352940962555,9,2011,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5.75890177387728,10,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.438079308923196,12,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4.875197323201151,1,2012,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6.052089168924417,3,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.855071922202427,3,2012,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6.2324480165505225,3,2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5.808142489980444,8,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0106352940962555,8,2012,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6.230481447578482,10,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.796057750765372,1,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.849324779946859,1,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.905361848054571,2,2013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5.075173815233827,3,2013,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6.028278520230698,5,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6.391917113392602,6,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5.932245187448011,9,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.371611847231857,10,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6.42648845745769,11,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6.025865973825314,2,2014,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6.0867747269123065,2,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.135798437050262,2,2014,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6.173786103901937,4,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.331501849893691,5,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.517452896464707,6,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6.877296071497429,6,2014,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6.0330862217988015,8,2014,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6.269096283706261,8,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6.270988431858299,10,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6.1092475827643655,11,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.4638318050256105,12,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6.335054251498059,12,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.220355825078324,12,2014,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6.059123195581797,2,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.993932975223189,9,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5.3706380281276624,11,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6.263398262591624,12,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6.263398262591624,1,2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.214608098422191,2,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6.48768401848461,2,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6.263398262591624,2,2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.349138991379798,5,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6.51471269087253,5,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
