,Median Sale Price (in 000's of dollars),Month,Year,City_Bothell,City_Issaquah,City_Kenmore,City_Kent,City_Kirkland,City_Mercer Island,City_Olympia,City_Redmond,City_Sammamish,City_Seattle,City_Snoqualmie,City_Tacoma,Property Type_Condo/Co-op,Property Type_Multi-Family (2-4 Unit),Property Type_Single Family Residential,Property Type_Townhouse
198,,12,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
199,,1,2020,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
200,,10,2019,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
201,,11,2019,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
202,,12,2019,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
203,,1,2020,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
204,,10,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
205,,11,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
206,,12,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
207,,1,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
208,,10,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,,11,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,,12,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,,1,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,,10,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
213,,11,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
214,,12,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
215,,1,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
216,,10,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
217,,11,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
218,,12,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
219,,1,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
220,,10,2019,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
221,,11,2019,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
222,,12,2019,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
223,,1,2020,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
224,,10,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
225,,11,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
226,,12,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
227,,1,2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
228,,10,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,,11,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,,12,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,,1,2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,,10,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
233,,11,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
234,,12,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
235,,1,2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
236,,10,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
237,,11,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
238,,12,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
239,,1,2020,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
240,,10,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
241,,11,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
242,,12,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
243,,1,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
