,City,Property Type,Period Begin,Period End,Median Sale Price (in 000's of dollars)
75,Snoqualmie,Single Family Residential,1/1/20,1/31/20,756.9023914573902
76,Snoqualmie,Multi-Family (2-4 Unit),10/1/19,10/31/19,271.16348819253693
77,Snoqualmie,Multi-Family (2-4 Unit),11/1/19,11/30/19,236.56782260045424
78,Snoqualmie,Multi-Family (2-4 Unit),12/1/19,12/31/19,206.38595211676036
79,Snoqualmie,Multi-Family (2-4 Unit),1/1/20,1/31/20,982.7558830617875
80,Redmond,Condo/Co-op,10/1/19,10/31/19,409.5364872747928
81,Redmond,Condo/Co-op,11/1/19,11/30/19,412.7838509982911
82,Redmond,Condo/Co-op,12/1/19,12/31/19,416.0569642495609
83,Redmond,Condo/Co-op,1/1/20,1/31/20,420.78788081008105
84,Redmond,Townhouse,10/1/19,10/31/19,664.6394384240807
85,Redmond,Townhouse,11/1/19,11/30/19,669.1587719579153
86,Redmond,Townhouse,12/1/19,12/31/19,673.7088355002531
87,Redmond,Townhouse,1/1/20,1/31/20,688.8829376271258
88,Redmond,All Residential,10/1/19,10/31/19,899.6373136180944
89,Redmond,All Residential,11/1/19,11/30/19,910.849775365353
90,Redmond,All Residential,12/1/19,12/31/19,922.2019815368684
91,Redmond,All Residential,1/1/20,1/31/20,874.826677817547
92,Redmond,Single Family Residential,10/1/19,10/31/19,1035.7962909105443
93,Redmond,Single Family Residential,11/1/19,11/30/19,1044.2371404475418
94,Redmond,Single Family Residential,12/1/19,12/31/19,1052.7467756536182
95,Redmond,Single Family Residential,1/1/20,1/31/20,1048.2590445686014
96,Redmond,Multi-Family (2-4 Unit),10/1/19,10/31/19,1092.2760228699058
97,Redmond,Multi-Family (2-4 Unit),11/1/19,11/30/19,1125.7237287122427
98,Redmond,Multi-Family (2-4 Unit),12/1/19,12/31/19,1160.1956711052876
99,Redmond,Multi-Family (2-4 Unit),1/1/20,1/31/20,916.4108587979996
100,Seattle,Condo/Co-op,10/1/19,10/31/19,512.7863215348337
101,Seattle,Condo/Co-op,11/1/19,11/30/19,517.1976838125665
102,Seattle,Condo/Co-op,12/1/19,12/31/19,521.646995848958
103,Seattle,Condo/Co-op,1/1/20,1/31/20,513.8603945938324
104,Seattle,Townhouse,10/1/19,10/31/19,779.2132428735475
105,Seattle,Townhouse,11/1/19,11/30/19,788.6761352101672
106,Seattle,Townhouse,12/1/19,12/31/19,798.2539464501667
107,Seattle,Townhouse,1/1/20,1/31/20,770.4353064996222
108,Seattle,All Residential,10/1/19,10/31/19,743.4838964379113
109,Seattle,All Residential,11/1/19,11/30/19,749.709316348387
110,Seattle,All Residential,12/1/19,12/31/19,755.9868636193132
111,Seattle,All Residential,1/1/20,1/31/20,753.0242588221371
112,Seattle,Single Family Residential,10/1/19,10/31/19,819.2034741030137
113,Seattle,Single Family Residential,11/1/19,11/30/19,823.9621472409497
114,Seattle,Single Family Residential,12/1/19,12/31/19,828.7484630473474
115,Seattle,Single Family Residential,1/1/20,1/31/20,848.9681913327844
116,Seattle,Multi-Family (2-4 Unit),10/1/19,10/31/19,1082.1308234290311
117,Seattle,Multi-Family (2-4 Unit),11/1/19,11/30/19,1096.075879619517
118,Seattle,Multi-Family (2-4 Unit),12/1/19,12/31/19,1110.2006410618376
119,Seattle,Multi-Family (2-4 Unit),1/1/20,1/31/20,1064.341322388805
120,Bellevue,Condo/Co-op,10/1/19,10/31/19,531.0651621399275
121,Bellevue,Condo/Co-op,11/1/19,11/30/19,539.3255685012582
122,Bellevue,Condo/Co-op,12/1/19,12/31/19,547.7144606268984
123,Bellevue,Condo/Co-op,1/1/20,1/31/20,500.7487391980872
124,Bellevue,Townhouse,10/1/19,10/31/19,725.4544672860914
125,Bellevue,Townhouse,11/1/19,11/30/19,733.7603343346667
126,Bellevue,Townhouse,12/1/19,12/31/19,742.1612968448346
127,Bellevue,Townhouse,1/1/20,1/31/20,720.6083613333137
128,Bellevue,All Residential,10/1/19,10/31/19,963.8337565490226
129,Bellevue,All Residential,11/1/19,11/30/19,972.1940946391347
130,Bellevue,All Residential,12/1/19,12/31/19,980.6269506842428
131,Bellevue,All Residential,1/1/20,1/31/20,970.4465518043997
132,Bellevue,Single Family Residential,10/1/19,10/31/19,1225.0775610271553
133,Bellevue,Single Family Residential,11/1/19,11/30/19,1232.2035250366844
134,Bellevue,Single Family Residential,12/1/19,12/31/19,1239.3709389630833
135,Bellevue,Single Family Residential,1/1/20,1/31/20,1276.9150010856922
136,Bellevue,Multi-Family (2-4 Unit),10/1/19,10/31/19,1370.2030791918658
137,Bellevue,Multi-Family (2-4 Unit),11/1/19,11/30/19,1376.5586355442338
138,Bellevue,Multi-Family (2-4 Unit),12/1/19,12/31/19,1382.943671538798
139,Bellevue,Multi-Family (2-4 Unit),1/1/20,1/31/20,1426.1009749250518
140,Kent,Condo/Co-op,10/1/19,10/31/19,231.98390262909115
141,Kent,Condo/Co-op,11/1/19,11/30/19,234.59422991422892
142,Kent,Condo/Co-op,12/1/19,12/31/19,237.2339291017197
143,Kent,Condo/Co-op,1/1/20,1/31/20,227.8202549316107
144,Kent,Townhouse,10/1/19,10/31/19,314.1260762120739
145,Kent,Townhouse,11/1/19,11/30/19,317.2753147199465
146,Kent,Townhouse,12/1/19,12/31/19,320.4561255929656
147,Kent,Townhouse,1/1/20,1/31/20,312.03885197396704
148,Kent,All Residential,10/1/19,10/31/19,446.59038996259926
149,Kent,All Residential,11/1/19,11/30/19,452.0177963965871
150,Kent,All Residential,12/1/19,12/31/19,457.51116202105567
151,Kent,All Residential,1/1/20,1/31/20,431.95651685102064
152,Kent,Single Family Residential,10/1/19,10/31/19,477.1003449949566
153,Kent,Single Family Residential,11/1/19,11/30/19,482.2221480058657
154,Kent,Single Family Residential,12/1/19,12/31/19,487.3989349763509
155,Kent,Single Family Residential,1/1/20,1/31/20,467.9067386858354
156,Kent,Multi-Family (2-4 Unit),10/1/19,10/31/19,493.30881824506343
157,Kent,Multi-Family (2-4 Unit),11/1/19,11/30/19,486.04764161012554
158,Kent,Multi-Family (2-4 Unit),12/1/19,12/31/19,478.89334465008557
159,Kent,Multi-Family (2-4 Unit),1/1/20,1/31/20,637.5625946890165
160,Tacoma,Condo/Co-op,10/1/19,10/31/19,258.5001548388745
161,Tacoma,Condo/Co-op,11/1/19,11/30/19,257.57951627058
162,Tacoma,Condo/Co-op,12/1/19,12/31/19,256.6621565218771
163,Tacoma,Condo/Co-op,1/1/20,1/31/20,284.32739962784683
164,Tacoma,Townhouse,10/1/19,10/31/19,265.6017418403665
165,Tacoma,Townhouse,11/1/19,11/30/19,267.10025595289034
166,Tacoma,Townhouse,12/1/19,12/31/19,268.60722462045436
167,Tacoma,Townhouse,1/1/20,1/31/20,272.86571077292285
168,Tacoma,All Residential,10/1/19,10/31/19,312.90551463673427
169,Tacoma,All Residential,11/1/19,11/30/19,314.9974592196146
170,Tacoma,All Residential,12/1/19,12/31/19,317.10338959671435
171,Tacoma,All Residential,1/1/20,1/31/20,320.5178997950322
172,Tacoma,Single Family Residential,10/1/19,10/31/19,313.23579792449976
173,Tacoma,Single Family Residential,11/1/19,11/30/19,315.21122039478735
174,Tacoma,Single Family Residential,12/1/19,12/31/19,317.19910087262383
175,Tacoma,Single Family Residential,1/1/20,1/31/20,322.44426478967
176,Tacoma,Multi-Family (2-4 Unit),10/1/19,10/31/19,415.13389286279005
177,Tacoma,Multi-Family (2-4 Unit),11/1/19,11/30/19,417.9176542618329
178,Tacoma,Multi-Family (2-4 Unit),12/1/19,12/31/19,420.7200827166267
179,Tacoma,Multi-Family (2-4 Unit),1/1/20,1/31/20,439.4602390317051
180,Mercer Island,Condo/Co-op,10/1/19,10/31/19,567.3537562574712
181,Mercer Island,Condo/Co-op,11/1/19,11/30/19,580.7049406407455
182,Mercer Island,Condo/Co-op,12/1/19,12/31/19,594.3703101730049
183,Mercer Island,Condo/Co-op,1/1/20,1/31/20,495.45785686854737
184,Mercer Island,Townhouse,10/1/19,10/31/19,1325.735772135817
185,Mercer Island,Townhouse,11/1/19,11/30/19,1391.7405803132408
186,Mercer Island,Townhouse,12/1/19,12/31/19,1461.0315898545573
187,Mercer Island,Townhouse,1/1/20,1/31/20,957.4520551461832
188,Mercer Island,All Residential,10/1/19,10/31/19,1675.250242529469
189,Mercer Island,All Residential,11/1/19,11/30/19,1689.120752325239
190,Mercer Island,All Residential,12/1/19,12/31/19,1703.106105287188
191,Mercer Island,All Residential,1/1/20,1/31/20,1699.2830571219683
192,Mercer Island,Single Family Residential,10/1/19,10/31/19,1830.7102291679982
193,Mercer Island,Single Family Residential,11/1/19,11/30/19,1841.092424182795
194,Mercer Island,Single Family Residential,12/1/19,12/31/19,1851.5334979713207
195,Mercer Island,Single Family Residential,1/1/20,1/31/20,1904.8791055171134
196,Mercer Island,Multi-Family (2-4 Unit),10/1/19,10/31/19,2381.5653115839737
197,Mercer Island,Multi-Family (2-4 Unit),11/1/19,11/30/19,2391.676488174267
198,Mercer Island,Multi-Family (2-4 Unit),12/1/19,12/31/19,2401.830592788242
199,Mercer Island,Multi-Family (2-4 Unit),1/1/20,1/31/20,2497.148575497935
200,Bothell,Condo/Co-op,10/1/19,10/31/19,480.93862011917764
201,Bothell,Condo/Co-op,11/1/19,11/30/19,487.39059634492384
202,Bothell,Condo/Co-op,12/1/19,12/31/19,493.9291283087187
203,Bothell,Condo/Co-op,1/1/20,1/31/20,487.9879751047234
204,Bothell,Townhouse,10/1/19,10/31/19,507.86934864157536
205,Bothell,Townhouse,11/1/19,11/30/19,513.1628142143416
206,Bothell,Townhouse,12/1/19,12/31/19,518.5114529883351
207,Bothell,Townhouse,1/1/20,1/31/20,506.428353024084
208,Bothell,All Residential,10/1/19,10/31/19,718.7129302947505
209,Bothell,All Residential,11/1/19,11/30/19,726.746560914853
210,Bothell,All Residential,12/1/19,12/31/19,734.8699898650217
211,Bothell,All Residential,1/1/20,1/31/20,712.0743778196914
212,Bothell,Single Family Residential,10/1/19,10/31/19,762.7446042314193
213,Bothell,Single Family Residential,11/1/19,11/30/19,769.5578514181101
214,Bothell,Single Family Residential,12/1/19,12/31/19,776.4319582122839
215,Bothell,Single Family Residential,1/1/20,1/31/20,770.1639088635533
216,Bothell,Multi-Family (2-4 Unit),10/1/19,10/31/19,712.6523400066687
217,Bothell,Multi-Family (2-4 Unit),11/1/19,11/30/19,700.57155720182
218,Bothell,Multi-Family (2-4 Unit),12/1/19,12/31/19,688.6955661375915
219,Bothell,Multi-Family (2-4 Unit),1/1/20,1/31/20,893.5126837539888
220,Issaquah,Condo/Co-op,10/1/19,10/31/19,421.3783341992274
221,Issaquah,Condo/Co-op,11/1/19,11/30/19,427.8558831550562
222,Issaquah,Condo/Co-op,12/1/19,12/31/19,434.43300685659466
223,Issaquah,Condo/Co-op,1/1/20,1/31/20,404.6325204846831
224,Issaquah,Townhouse,10/1/19,10/31/19,676.7190630136597
225,Issaquah,Townhouse,11/1/19,11/30/19,686.8424995686984
226,Issaquah,Townhouse,12/1/19,12/31/19,697.1173785365302
227,Issaquah,Townhouse,1/1/20,1/31/20,649.9815587609305
228,Issaquah,All Residential,10/1/19,10/31/19,786.3673876364156
229,Issaquah,All Residential,11/1/19,11/30/19,794.2555833238634
230,Issaquah,All Residential,12/1/19,12/31/19,802.2229069509763
231,Issaquah,All Residential,1/1/20,1/31/20,776.9444409832302
232,Issaquah,Single Family Residential,10/1/19,10/31/19,978.4991026780797
233,Issaquah,Single Family Residential,11/1/19,11/30/19,985.1833573868084
234,Issaquah,Single Family Residential,12/1/19,12/31/19,991.913273109319
235,Issaquah,Single Family Residential,1/1/20,1/31/20,997.550078641589
236,Issaquah,Multi-Family (2-4 Unit),10/1/19,10/31/19,1072.1706929093866
237,Issaquah,Multi-Family (2-4 Unit),11/1/19,11/30/19,1114.1351875324467
238,Issaquah,Multi-Family (2-4 Unit),12/1/19,12/31/19,1157.7421620522346
239,Issaquah,Multi-Family (2-4 Unit),1/1/20,1/31/20,859.5176794253907
240,Olympia,Condo/Co-op,10/1/19,10/31/19,194.67950243087876
241,Olympia,Condo/Co-op,11/1/19,11/30/19,195.47352007794183
242,Olympia,Condo/Co-op,12/1/19,12/31/19,196.27077619652889
243,Olympia,Condo/Co-op,1/1/20,1/31/20,192.5571457458317
244,Olympia,Townhouse,10/1/19,10/31/19,250.13567640134346
245,Olympia,Townhouse,11/1/19,11/30/19,251.91554504254776
246,Olympia,Townhouse,12/1/19,12/31/19,253.70807853998406
247,Olympia,Townhouse,1/1/20,1/31/20,247.51794865660113
248,Olympia,All Residential,10/1/19,10/31/19,321.4832378314569
249,Olympia,All Residential,11/1/19,11/30/19,321.4595277384015
250,Olympia,All Residential,12/1/19,12/31/19,321.43581939401685
251,Olympia,All Residential,1/1/20,1/31/20,337.29502345351034
252,Olympia,Single Family Residential,10/1/19,10/31/19,321.97819751604993
253,Olympia,Single Family Residential,11/1/19,11/30/19,321.3627302162263
254,Olympia,Single Family Residential,12/1/19,12/31/19,320.7484393935681
255,Olympia,Single Family Residential,1/1/20,1/31/20,343.0620133457882
256,Olympia,Multi-Family (2-4 Unit),10/1/19,10/31/19,339.39891434297857
257,Olympia,Multi-Family (2-4 Unit),11/1/19,11/30/19,339.61566663939976
258,Olympia,Multi-Family (2-4 Unit),12/1/19,12/31/19,339.8325573616057
259,Olympia,Multi-Family (2-4 Unit),1/1/20,1/31/20,361.9967214637566
